Year,carrier_lg,total_passengers,year_total,market_share
2022,G4,27916,2979367,0.9369775526143641
2022,MX,4028,2979367,0.13519650314983014
2022,NK,45991,2979367,1.5436500437844682
2022,SY,979,2979367,0.03285932884401284
2022,UA,613238,2979367,20.58282850014785
2022,WN,741410,2979367,24.88481613711906
2022,XP,3140,2979367,0.10539151437201258
2023,3M,279,3202067,0.00871312186784349
2023,AA,612024,3202067,19.11340393564532
2023,AS,170186,3202067,5.314879420074595
2023,B6,273276,3202067,8.534362335329023
2023,DL,492708,3202067,15.387185839646703
2023,F9,36655,3202067,1.144729326400728
2023,G4,26692,3202067,0.8335865551845105
2023,MX,14951,3202067,0.46691715070296785
2023,NK,42428,3202067,1.3250191204618766
2023,SY,1089,3202067,0.03400928212932459
2023,UA,742059,3202067,23.174374552437534
2023,WN,784294,3202067,24.493366316195132
2023,XP,5426,3202067,0.16945304392444005
2024,AA,138940,743480,18.687792543175338
2024,AS,30547,743480,4.108651207833431
2024,B6,60988,743480,8.203045139075698
2024,DL,122176,743480,16.43299080002152
2024,F9,7972,743480,1.072254801743154
2024,G4,6330,743480,0.8514015171894336
2024,MX,4350,743480,0.5850863506752031
2024,NK,8453,743480,1.1369505568408027
2024,SY,384,743480,0.05164900199063862
2024,UA,176059,743480,23.680394899661053
2024,WN,185860,743480,24.998654973906493
2024,XP,1421,743480,0.191128207887233
